Plaintext,Ciphertext
t,A
u,B
v,C
w,D
x,E
y,F
z,G
a,H
b,I
c,J
d,K
e,L
f,M
g,N
h,O
i,P
j,Q
k,R
l,S
m,T
n,U
o,V
p,W
q,X
r,Y
s,Z
